grant_title,id,total_amount,group
Collection and Billing of Rates and Government Rent,,71.8,6
Provision of Valuation and Property Information Services,,93,6
Landlord and Tenant Services,,32.9,6
Electoral Services,,711.4,0
Government Flying Service,,622.9,0
Weather Services,,290.3,0
Radiation Monitoring and Assessment,,35.3,0
Time Standard and Geophysical Services,,12.9,0
Compliance with Interception and Surveillance Legislation,,24.6,9
Family and Child Welfare,,2413.7,1
Family and Child Welfare,,1139.3,9
Social Security,,0.7,9
Social Security,,61017.1,9
Services for The Elderly,,8514.3,9
Services for The Elderly,,371,9
Rehabilitation and Medical Social Services,,6624.7,9
Rehabilitation and Medical Social Services,,1050,9
Services for Offenders,,73.8,9
Services for Offenders,,305.7,9
Community Development,,189.9,9
Community Development,,5,9
Young People,,1962.5,9
Young People,,101.7,1
Student Assistance Scheme,,5105.7,3
Working Family Allowance,,2802.1,3
Secretariat services for the following advisory bodies,,33.8,0
"Film Classification, Control of Obscene and Indecent Articles and Newspaper Registration",,50.3,2
Commercial Relations,,150.2,9
Trade Support and Facilitation,,126.8,9
Support for Small and Medium Enterprises and Industries,,498.3,9
Planning and Development,,562.3,7
Licensing of Vehicles and Drivers,,432.8,7
District Traffic and Transport Services,,524.7,7
Management of Transport Services,,677.9,7
Transport Services for Persons with Disabilities and Government Public Transport Fare Concession Scheme for the Elderly and Eligible Persons with Disabilities,,1463.2,7
Public Transport Fare Subsidy Scheme,,825,7
"Central Accounting, Collections and Payments",,151.1,0
"Payment of Salaries, Pensions and Benefits",,126.5,0
Accounting and Financial Information Systems,,121,0
Management of Funds,,8.2,0
University Grants Committee,,22207.1,3
Water Supply: Planning and Distribution,,7571.7,7
Water Quality Control,,298.2,7
Customer Services,,534.1,7
